figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG000BV59Y6,TELEFLEX INC,TFX,US,BBG000BV59Y6,,Common Stock,Equity,BBG001S5WNP2,,Common Stock,TFX
BBG000BV4DR6,TERADYNE INC,TER,US,BBG000BV4DR6,,Common Stock,Equity,BBG001S5WMZ3,,Common Stock,TER
BBG000N9MNX3,TESLA INC,TSLA,US,BBG000N9MNX3,,Common Stock,Equity,BBG001SQKGD7,,Common Stock,TSLA
BBG000BVV7G1,TEXAS INSTRUMENTS INC,TXN,US,BBG000BVV7G1,,Common Stock,Equity,BBG001S5WYZ7,,Common Stock,TXN
BBG000BVVQQ8,TEXTRON INC,TXT,US,BBG000BVVQQ8,,Common Stock,Equity,BBG001S5WZ39,,Common Stock,TXT
BBG000BVDLH9,THERMO FISHER SCIENTIFIC INC,TMO,US,BBG000BVDLH9,,Common Stock,Equity,BBG001S5WS08,,Common Stock,TMO
BBG000BV8DN6,TJX COMPANIES INC,TJX,US,BBG000BV8DN6,,Common Stock,Equity,BBG001S5WQ93,,Common Stock,TJX
BBG000BLXZN1,TRACTOR SUPPLY COMPANY,TSCO,US,BBG000BLXZN1,,Common Stock,Equity,BBG001S7K017,,Common Stock,TSCO
BBG000BM6788,TRANE TECHNOLOGIES PLC,TT,US,BBG000BM6788,,Common Stock,Equity,BBG001S5SBV6,,Common Stock,TT
BBG000L8CBX4,TRANSDIGM GROUP INC,TDG,US,BBG000L8CBX4,,Common Stock,Equity,BBG001SPV1C1,,Common Stock,TDG
BBG000BJ81C1,TRAVELERS COS INC/THE,TRV,US,BBG000BJ81C1,,Common Stock,Equity,BBG001S5R103,,Common Stock,TRV
BBG000BNPS52,TRIMBLE INC,TRMB,US,BBG000BNPS52,,Common Stock,Equity,BBG001S5SZP0,,Common Stock,TRMB
BBG000BYYLS8,TRUIST FINANCIAL CORP,TFC,US,BBG000BYYLS8,,Common Stock,Equity,BBG001S5YYC0,,Common Stock,TFC
BBG000H6HNW3,TWITTER INC,TWTR,US,BBG000H6HNW3,,Common Stock,Equity,BBG001T35PT7,,Common Stock,TWTR
BBG000BVWZF9,TYLER TECHNOLOGIES INC,TYL,US,BBG000BVWZF9,,Common Stock,Equity,BBG001S5WZB0,,Common Stock,TYL
BBG000DKCC19,TYSON FOODS INC-CL A,TSN,US,BBG000DKCC19,,Common Stock,Equity,BBG001S871D5,,Common Stock,TSN
BBG000C41023,UDR INC,UDR,US,BBG000C41023,,REIT,Equity,BBG001S6KCT3,,REIT,UDR
BBG00FWQ4VD6,ULTA BEAUTY INC,ULTA,US,BBG00FWQ4VD6,,Common Stock,Equity,BBG00FWQ4W44,,Common Stock,ULTA
BBG000FFDM15,US BANCORP,USB,US,BBG000FFDM15,,Common Stock,Equity,BBG001S6T8C1,,Common Stock,USB
BBG000BXM6V2,UNDER ARMOUR INC-CLASS A,UAA,US,BBG000BXM6V2,,Common Stock,Equity,BBG001SJLLQ7,,Common Stock,UAA
BBG009DTD8H2,UNDER ARMOUR INC-CLASS C,UA,US,BBG009DTD8H2,,Common Stock,Equity,BBG009DTD8J0,,Common Stock,UA
BBG000BW3299,UNION PACIFIC CORP,UNP,US,BBG000BW3299,,Common Stock,Equity,BBG001S5X2M0,,Common Stock,UNP
BBG000M65M61,UNITED AIRLINES HOLDINGS INC,UAL,US,BBG000M65M61,,Common Stock,Equity,BBG001SQ87W0,,Common Stock,UAL
BBG000CH5208,UNITEDHEALTH GROUP INC,UNH,US,BBG000CH5208,,Common Stock,Equity,BBG001S6WCJ1,,Common Stock,UNH
BBG000L9CV04,UNITED PARCEL SERVICE-CL B,UPS,US,BBG000L9CV04,,Common Stock,Equity,BBG001SDGSH1,,Common Stock,UPS
BBG000BXMFC3,UNITED RENTALS INC,URI,US,BBG000BXMFC3,,Common Stock,Equity,BBG001SBGZ25,,Common Stock,URI
BBG000CB8Q50,UNIVERSAL HEALTH SERVICES-B,UHS,US,BBG000CB8Q50,,Common Stock,Equity,BBG001S6S976,,Common Stock,UHS
BBG000BBGGQ1,VALERO ENERGY CORP,VLO,US,BBG000BBGGQ1,,Common Stock,Equity,BBG001S5X8K9,,Common Stock,VLO
BBG000FRVHB9,VENTAS INC,VTR,US,BBG000FRVHB9,,REIT,Equity,BBG001S9T7M6,,REIT,VTR
BBG000BGKHZ3,VERISIGN INC,VRSN,US,BBG000BGKHZ3,,Common Stock,Equity,BBG001S7BCF6,,Common Stock,VRSN
BBG000BCZL41,VERISK ANALYTICS INC,VRSK,US,BBG000BCZL41,,Common Stock,Equity,BBG001SBRX64,,Common Stock,VRSK
BBG000HS77T5,VERIZON COMMUNICATIONS INC,VZ,US,BBG000HS77T5,,Common Stock,Equity,BBG001S67QY1,,Common Stock,VZ
BBG000C1S2X2,VERTEX PHARMACEUTICALS INC,VRTX,US,BBG000C1S2X2,,Common Stock,Equity,BBG001S68LJ8,,Common Stock,VRTX
BBG000BWCKB6,VF CORP,VFC,US,BBG000BWCKB6,,Common Stock,Equity,BBG001S5X749,,Common Stock,VFC
BBG000C496P7,VIACOMCBS INC - CLASS B,VIAC,US,BBG000C496P7,,Common Stock,Equity,BBG001S6L063,,Common Stock,VIAC
BBG00Y4RQNH4,VIATRIS INC,VTRS,US,BBG00Y4RQNH4,,Common Stock,Equity,BBG00Y52JV51,,Common Stock,VTRS
BBG000PSKYX7,VISA INC-CLASS A SHARES,V,US,BBG000PSKYX7,,Common Stock,Equity,BBG001SRCFY3,,Common Stock,V
BBG000BWHD54,VORNADO REALTY TRUST,VNO,US,BBG000BWHD54,,REIT,Equity,BBG001S5X909,,REIT,VNO
BBG000BWGYF8,VULCAN MATERIALS CO,VMC,US,BBG000BWGYF8,,Common Stock,Equity,BBG001S5X8R2,,Common Stock,VMC
BBG000BD1HP2,WR BERKLEY CORP,WRB,US,BBG000BD1HP2,,Common Stock,Equity,BBG001S5P463,,Common Stock,WRB
BBG000BDD940,WABTEC CORP,WAB,US,BBG000BDD940,,Common Stock,Equity,BBG001S5XBT3,,Common Stock,WAB
BBG000BWXBC2,WALMART INC,WMT,US,BBG000BWXBC2,,Common Stock,Equity,BBG001S5XH92,,Common Stock,WMT
BBG000BWLMJ4,WALGREENS BOOTS ALLIANCE INC,WBA,US,BBG000BWLMJ4,,Common Stock,Equity,BBG001S5XBY7,,Common Stock,WBA
